control,individual_realization,mean_model
"['OP_4', 'OP_1', 'OP_3', 'OP_2', 'WI_1', 'OP_5', 'WI_2', 'WI_3']",6743087804.03,6511253620.11
"['OP_1', 'OP_4', 'OP_2', 'OP_3', 'WI_1', 'OP_5', 'WI_3', 'WI_2']",7278377828.38,6496692537.52
"['OP_4', 'OP_5', 'OP_1', 'OP_3', 'WI_2', 'OP_2', 'WI_1', 'WI_3']",6588987538.77,6443808900.16
"['OP_5', 'OP_4', 'OP_3', 'OP_2', 'WI_3', 'OP_1', 'WI_2', 'WI_1']",7969368909.43,6502306282.69
"['OP_5', 'OP_4', 'OP_2', 'OP_3', 'WI_1', 'OP_1', 'WI_3', 'WI_2']",6834167638.31,6465079087.71
"['OP_3', 'OP_1', 'OP_5', 'OP_2', 'WI_1', 'OP_4', 'WI_2', 'WI_3']",7351069218.62,6535189398.34
"['OP_4', 'OP_2', 'OP_5', 'OP_3', 'WI_1', 'OP_1', 'WI_2', 'WI_3']",6891694427.92,6484548495.52
"['OP_4', 'OP_5', 'OP_3', 'OP_2', 'WI_3', 'OP_1', 'WI_1', 'WI_2']",6114047414.02,6506098590.16
"['OP_3', 'OP_5', 'OP_1', 'OP_4', 'WI_3', 'OP_2', 'WI_1', 'WI_2']",8040110319.86,6535462409.32
"['OP_5', 'OP_2', 'OP_1', 'OP_4', 'WI_1', 'OP_3', 'WI_2', 'WI_3']",6428438370.57,6479882174.21
"['OP_4', 'OP_1', 'OP_3', 'OP_2', 'WI_1', 'WI_2', 'OP_5', 'WI_3']",8353287698.53,6643089106.15
"['OP_1', 'OP_4', 'OP_2', 'OP_3', 'WI_1', 'WI_3', 'OP_5', 'WI_2']",7801955275.29,6631866088.27
"['OP_4', 'OP_5', 'OP_1', 'OP_3', 'WI_2', 'WI_1', 'OP_2', 'WI_3']",6984851609.96,6589311064.76
"['OP_5', 'OP_4', 'OP_3', 'OP_2', 'WI_3', 'WI_2', 'OP_1', 'WI_1']",7515294115.8,6532129993.97
"['OP_5', 'OP_4', 'OP_2', 'OP_3', 'WI_1', 'WI_3', 'OP_1', 'WI_2']",5505835460.14,6589698505.77
"['OP_3', 'OP_1', 'OP_5', 'OP_2', 'WI_1', 'WI_2', 'OP_4', 'WI_3']",7823298293.66,6644963886.78
"['OP_4', 'OP_2', 'OP_5', 'OP_3', 'WI_1', 'WI_2', 'OP_1', 'WI_3']",6793814890.99,6533949523.71
"['OP_4', 'OP_5', 'OP_3', 'OP_2', 'WI_3', 'WI_1', 'OP_1', 'WI_2']",6800891117.09,6617829808.37
"['OP_3', 'OP_5', 'OP_1', 'OP_4', 'WI_3', 'WI_1', 'OP_2', 'WI_2']",7754788570.99,6602067939.44
"['OP_5', 'OP_2', 'OP_1', 'OP_4', 'WI_1', 'WI_2', 'OP_3', 'WI_3']",8301556140.9,6582475318.96
"['OP_4', 'OP_1', 'OP_3', 'OP_2', 'WI_1', 'WI_2', 'WI_3', 'OP_5']",8278435166.2,6757820517.62
"['OP_1', 'OP_4', 'OP_2', 'OP_3', 'WI_1', 'WI_3', 'WI_2', 'OP_5']",7409457427.42,6744313644.71
"['OP_4', 'OP_5', 'OP_1', 'OP_3', 'WI_2', 'WI_1', 'WI_3', 'OP_2']",6518802967.11,6650690922.82
"['OP_5', 'OP_4', 'OP_3', 'OP_2', 'WI_3', 'WI_2', 'WI_1', 'OP_1']",6995751208.64,6537886395.76
"['OP_5', 'OP_4', 'OP_2', 'OP_3', 'WI_1', 'WI_3', 'WI_2', 'OP_1']",7103837671.57,6614653831.54
"['OP_3', 'OP_1', 'OP_5', 'OP_2', 'WI_1', 'WI_2', 'WI_3', 'OP_4']",8151778132.46,6716557484.95
"['OP_4', 'OP_2', 'OP_5', 'OP_3', 'WI_1', 'WI_2', 'WI_3', 'OP_1']",7116462574.98,6541309836.5
"['OP_4', 'OP_5', 'OP_3', 'OP_2', 'WI_3', 'WI_1', 'WI_2', 'OP_1']",6532720804.66,6642053752.81
"['OP_3', 'OP_5', 'OP_1', 'OP_4', 'WI_3', 'WI_1', 'WI_2', 'OP_2']",7897290355.73,6655558487.11
"['OP_5', 'OP_2', 'OP_1', 'OP_4', 'WI_1', 'WI_2', 'WI_3', 'OP_3']",9241959005.05,6653271104.58
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'OP_2', 'OP_5', 'WI_2', 'WI_3']",7863419348.65,6672141803.63
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'OP_3', 'OP_5', 'WI_3', 'WI_2']",7738672853.32,6632945400.12
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'OP_2', 'OP_3', 'WI_2', 'WI_3']",6704556754.78,6599979275.9
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'OP_2', 'OP_1', 'WI_2', 'WI_1']",7618635353.8,6634928918.35
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'OP_3', 'OP_1', 'WI_3', 'WI_2']",6768012550.43,6602676884.38
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'OP_2', 'OP_4', 'WI_1', 'WI_3']",7558804636.3,6632696803.21
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'OP_3', 'OP_1', 'WI_2', 'WI_3']",7691679635.89,6630410322.82
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'OP_2', 'OP_1', 'WI_1', 'WI_2']",7295315647.23,6644902262.55
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'OP_4', 'OP_2', 'WI_1', 'WI_3']",6455016517.66,6623165733.43
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'OP_4', 'OP_3', 'WI_1', 'WI_3']",6907090911.69,6574891568.54
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'OP_2', 'WI_2', 'OP_5', 'WI_3']",6281789164.81,6801516097.38
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'OP_3', 'WI_3', 'OP_5', 'WI_2']",7218978825.17,6761078324.91
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'OP_2', 'WI_2', 'OP_3', 'WI_3']",6481178491.28,6695636842.37
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'OP_2', 'WI_2', 'OP_1', 'WI_1']",7987876696.06,6656407557.81
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'OP_3', 'WI_3', 'OP_1', 'WI_2']",7966506232.59,6720360337.99
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'OP_2', 'WI_1', 'OP_4', 'WI_3']",8403292329.22,6764702732.62
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'OP_3', 'WI_2', 'OP_1', 'WI_3']",7648132962.24,6673705348.43
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'OP_2', 'WI_1', 'OP_1', 'WI_2']",6894560371.18,6749602966.6
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'OP_4', 'WI_1', 'OP_2', 'WI_3']",8186720924.13,6765485550.85
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'OP_4', 'WI_1', 'OP_3', 'WI_3']",8176961996.08,6705447135.54
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'OP_2', 'WI_2', 'WI_3', 'OP_5']",6125442945.84,6912023615.43
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'OP_3', 'WI_3', 'WI_2', 'OP_5']",7530953509.57,6871207664.89
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'OP_2', 'WI_2', 'WI_3', 'OP_3']",7535613363.37,6757223250.95
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'OP_2', 'WI_2', 'WI_1', 'OP_1']",6974057776.34,6658163753.61
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'OP_3', 'WI_3', 'WI_2', 'OP_1']",6300868087.52,6739625329.28
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'OP_2', 'WI_1', 'WI_3', 'OP_4']",6350920943.13,6835956186.38
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'OP_3', 'WI_2', 'WI_3', 'OP_1']",7722296418.25,6676138685.16
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'OP_2', 'WI_1', 'WI_2', 'OP_1']",6821357109.25,6766310865.32
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'OP_4', 'WI_1', 'WI_3', 'OP_2']",7556282226.69,6824260370.19
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'OP_4', 'WI_1', 'WI_3', 'OP_3']",6303401833.38,6780710331.13
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'WI_2', 'OP_2', 'OP_5', 'WI_3']",7630115675.18,6924488497.45
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'OP_5', 'OP_3', 'WI_3']",7849623182.44,6823768776.56
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'WI_3', 'OP_3', 'OP_2', 'WI_2']",8792855792.7,6733090073.53
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'WI_2', 'OP_2', 'OP_1', 'WI_1']",7480814948.04,6631949669.27
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'OP_1', 'OP_3', 'WI_3']",7693263501.25,6708873035.99
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'WI_3', 'OP_4', 'OP_2', 'WI_1']",8306461379.39,6834721428.34
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'WI_2', 'OP_3', 'OP_1', 'WI_3']",7891677693.25,6674417349.54
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'WI_2', 'OP_1', 'OP_2', 'WI_1']",8862547923.04,6709625408.2
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'WI_1', 'OP_4', 'OP_2', 'WI_3']",7594340092.69,6882193697.96
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'WI_3', 'OP_3', 'OP_4', 'WI_1']",9022992838.08,6803590625.08
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'WI_2', 'OP_2', 'WI_3', 'OP_5']",9563626552.99,7031821592.51
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'OP_5', 'WI_3', 'OP_3']",7410162479.3,6884473278.11
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'WI_3', 'OP_3', 'WI_2', 'OP_2']",7836897631.28,6776595975.33
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'WI_2', 'OP_2', 'WI_1', 'OP_1']",6967578034.03,6631333173.31
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'OP_1', 'WI_3', 'OP_3']",7991792424.51,6766494128.53
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'WI_3', 'OP_4', 'WI_1', 'OP_2']",7727255020.42,6885837620.49
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'WI_2', 'OP_3', 'WI_3', 'OP_1']",9016262551.99,6672761453.06
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'WI_2', 'OP_1', 'WI_1', 'OP_2']",6760560943.79,6755059421.09
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'WI_1', 'OP_4', 'WI_3', 'OP_2']",7749856892.31,6930786627.37
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'WI_3', 'OP_3', 'WI_1', 'OP_4']",6228643502.75,6869642107.53
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'WI_2', 'WI_3', 'OP_2', 'OP_5']",7243408487.32,7082898850.0
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'WI_3', 'OP_5', 'OP_3']",7163082106.86,6973238109.31
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'WI_3', 'WI_2', 'OP_3', 'OP_2']",8018038868.21,6826596133.45
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'WI_2', 'WI_1', 'OP_2', 'OP_1']",7369709730.68,6678187047.96
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'WI_3', 'OP_1', 'OP_3']",8780910301.1,6750087824.97
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'WI_3', 'WI_1', 'OP_4', 'OP_2']",8375139793.98,6918689228.83
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'WI_2', 'WI_3', 'OP_3', 'OP_1']",6813660046.1,6724223571.65
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'WI_2', 'WI_1', 'OP_1', 'OP_2']",6627762509.39,6742924829.61
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'WI_1', 'WI_3', 'OP_4', 'OP_2']",5932016150.23,6930481392.62
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'WI_3', 'WI_1', 'OP_3', 'OP_4']",7582196453.5,6886255322.52
"['OP_4', 'OP_1', 'WI_1', 'OP_3', 'OP_2', 'OP_5', 'WI_2', 'WI_3']",6628841912.27,6794865663.27
"['OP_1', 'OP_4', 'WI_2', 'OP_3', 'OP_2', 'OP_5', 'WI_3', 'WI_1']",8420849595.67,6708331518.67
"['OP_4', 'OP_5', 'WI_2', 'OP_3', 'OP_2', 'OP_1', 'WI_1', 'WI_3']",6560644543.22,6419872654.89
"['OP_5', 'OP_4', 'WI_1', 'OP_2', 'OP_1', 'OP_3', 'WI_3', 'WI_2']",8157216716.62,6686239608.62
"['OP_5', 'OP_4', 'WI_3', 'OP_3', 'OP_1', 'OP_2', 'WI_2', 'WI_1']",7691171200.35,6694402344.06
"['OP_3', 'OP_1', 'WI_3', 'OP_2', 'OP_5', 'OP_4', 'WI_1', 'WI_2']",7109297846.9,6837688394.99
"['OP_4', 'OP_2', 'WI_3', 'OP_3', 'OP_1', 'OP_5', 'WI_1', 'WI_2']",8838607756.73,6851624648.55
"['OP_4', 'OP_5', 'WI_1', 'OP_2', 'OP_1', 'OP_3', 'WI_2', 'WI_3']",8180239814.99,6715536678.77
"['OP_3', 'OP_5', 'WI_1', 'OP_4', 'OP_1', 'OP_2', 'WI_2', 'WI_3']",5722279537.44,6798992182.49
"['OP_5', 'OP_2', 'WI_2', 'OP_1', 'OP_4', 'OP_3', 'WI_1', 'WI_3']",7604404991.14,6583988911.06
